;Name;Jahr;IMDB;Laufzeit;Regisseur
269;Spider-Man 3;2007;tt0413300;139;Sam Raimi
413;Spider-Man: Homecoming;2017;tt2250912;133;Jon Watts
268;Spieglein Spieglein - Die wirklich wahre Geschichte von Schneewittchen;2012;tt1667353;106;Tarsem Singh
365;Split;2016;tt4972582;117;M. Night Shyamalan
267;Star Trek;2009;tt0796366;127;J.J. Abrams
265;Star Trek - Into Darkness;2013;tt1408101;132;J.J. Abrams
339;Star Trek Beyond;2016;tt2660888;122;Justin Lin
12;Star Trek I: The Motion Picture;1979;tt0079945;132;Robert Wise
13;Star Trek II: The Wrath of Khan;1982;tt0084726;113;Nicholas Meyer
14;Star Trek III: The Search for Spock;1984;tt0088170;105;Leonard Nimoy
15;Star Trek IV: The Voyage Home;1986;tt0092007;119;Leonard Nimoy
20;Star Trek IX: Insurrection;1998;tt0120844;103;Jonathan Frakes
16;Star Trek V: The Final Frontier;1989;tt0098382;106;William Shatner
17;Star Trek VI: The Undiscovered Country;1991;tt0102975;110;Nicholas Meyer
18;Star Trek VII: Generations;1994;tt0111280;118;David Carson
19;Star Trek VIII: First Contact;1996;tt0117731;111;Jonathan Frakes
21;Star Trek X: Nemesis;2002;tt0253754;116;Stuart Baird
23;Star Trek: Evolutions;2009;tt3255584;75;Tim King
266;Star Trek: Into Darkness;2013;tt1408101;132;J.J. Abrams
11;Star Trek: Stardate Collection;;;1133;
22;Star Trek: The Captains' Summit;2009;tt1394315;70;Tim King
264;Star Wars - Das Erwachen der Macht;2015;tt2488496;135;J.J. Abrams
430;Star Wars - Die letzten Jedi;2017;tt2527336;152;Rian Johnson
24;Star Wars: Trilogie I - III;;;418;
25;Star Wars: Trilogie IV - VI;;;387;
212;Stirb langsam - Ein guter Tag zum Sterben;2013;tt1606378;101;John Moore
263;Stirb langsam 4.0;2007;tt0337978;125;Len Wiseman
478;Street Fighter - Die entscheidende Schlacht;1994;tt0111301;101;Steven E. de Souza
479;Street Fighter: Assassin's Fist;2014;tt3069212;146;Joey Ansah
346;Suicide Squad;2016;tt1386697;135;David Ayer
358;Sully;2016;tt3263904;96;Clint Eastwood
318;Susi und Strolch / Susi und Strolch II: Kleine Strolche - Großes Abenteuer!;;;0;
261;Taffe Mädels;2013;tt2404463;120;Paul Feig
316;Tarzan;1999;tt0120855;88;Chris Buck
260;Ted;2012;tt1637725;106;Seth MacFarlane
259;Ted 2;2015;tt2637276;115;Seth MacFarlane
304;Teenage Mutant Ninja Turtles;2014;tt1291150;101;Jonathan Liebesman
342;Teenage Mutant Ninja Turtles: Out of the Shadows;2016;tt3949660;112;Dave Green
440;The 12th Man - Kampf ums Überleben;2017;tt3300980;136;Harald Zwart
354;The Accountant;2016;tt2140479;128;Gavin O'Connor
258;The Amazing Spider-Man;2012;tt0948470;136;Marc Webb
257;The Amazing Spider-Man 2: Rise of Electro;2014;tt1872181;141;Marc Webb
423;The Circle;2017;tt4287320;109;James Ponsoldt
442;The Commuter;2018;tt1590193;105;Jaume Collet-Serra
144;The Da Vinci Code: Sakrileg;2006;tt0382625;174;Ron Howard
256;The Dark Knight;2008;tt0468569;153;Christopher Nolan
255;The Dark Knight Rises;2012;tt1345836;164;Christopher Nolan
185;The Equalizer;2014;tt0455944;132;Antoine Fuqua
471;The Equalizer 2: Alles hat Konsequenzen;2018;tt3766354;121;Antoine Fuqua
254;The Expendables;2010;tt1320253;114;Sylvester Stallone
224;The Expendables 2: Back for War;2012;tt1764651;103;Simon West
177;The Fast and the Furious;2001;tt0232500;107;Rob Cohen
175;The Fast and the Furious: Tokyo Drift;2006;tt0463985;104;Justin Lin
331;The First Avenger: Civil War;2016;tt3498820;147;Anthony Russo
363;The Great Wall;2016;tt2034800;103;Yimou Zhang
253;The Green Hornet;2010;tt0990407;119;Michel Gondry
252;The Green Mile;1999;tt0120689;188;Frank Darabont
157;The Hateful 8;2015;tt3460252;167;Quentin Tarantino
350;The Homesman;2014;tt2398231;123;Tommy Lee Jones
213;The Huntsman & the Ice Queen;2016;tt2381991;114;Cedric Nicolas-Troyan
210;The Jungle Book;2016;tt3040964;106;Jon Favreau 
117;The Last Stand;2013;tt1549920;108;Kim Jee-woon
251;The Mechanic;2011;tt0472399;92;Simon West
332;The Nice Guys;2016;tt3799694;116;Shane Black
248;The Pacific;2010;tt0374463;532;Jeremy Podeswa
86;The Return of the First Avenger;2014;tt1843866;136;Anthony Russo
